"1","James Cameron ","Male"
"2","James Wan ","Male"
"3","Ryan Coogler","Male"
"4","Scott Derrickson","Male"
"5","James Gunn","Male"
"6","Andrew Stanton, Angus MacLane (co-director) ","Male"
"7","Ron Clements, John Musker, Don Hall, Chris Wi","Male"
"8","Tim Miller ","Male"
"9","Anthony Russo, Joe Russo ","Male"
"10","Kenneth Branagh ","Male"
"11","M. Night Shyamalan","Male"
"12","Travis Knight","Male"
"13","Michael Bay","Male"
"14","Ruben Fleischer","Male"
"15","Justin Lin","Male"
"16","Rob Marshall","Male"
"17","David Leitch","Male"
"18","Gore Verbinski","Male"
"19","Joss Whedon","Male"
"20","Bryan Singer","Male"
"21","Andrew Stanton","Male"
"22"," Nathan Greno, Byron Howard","Male"
"23","Sam Raimi","Male"
"24","Gore Verbinski","Male"
"25","Christopher Nolan","Male"
"26","David Yates","Male"
"27","Zack Snyder","Male"
"28","Peter Jackson","Male"
"29","Anthony Russo, Joe Russo","Male"
"30","Bryan Singer","Male"
"31","Sam Mendes","Male"
"32","Zack Snyder","Male"
"33","Peter Jackson","Male"
"36","Femi Oyeniran, Kalvadour Peterson","Male"
"37","J.A. Bayona","Male"
"38","Danny Boyle","Male"
"39","Greg Berlanti, Sera Gamble","Male, Female"
"40","Otto Bathurst","Male"
"41","Richard Curtis","Male"
"42","Marc Webb","Male"
"43","Derek Cianfrance","Male"
"44","Chris Evans","Male"
"45","Olivia Milch","Female"
"46","Carl Rinsch","Male"
"47","Duncan Jones","Male"
"48","Jonas Akerlund","Male"
"49","Vicky Jewson","Female"
"50","Susanne Bier","Female"
"51","Peyton Reed","Male"
"52","Dean DeBlois","Male"
"53","Hannah Fidell","Female"
"54","Peter Segal","Male"
"55","James McTeigue","Male"
"56","David Fincher","Male"
"57","Nicolas Winding Refn","Male"
"58","Shane Black","Male"
"59","Glenn Ficarra, John Requa","Male"
"60","Will Gluck","Male"
"61","Will Gluck","Male"
"62","Ari Sandel","Male"
"63","Susan Johnson","Female"
"64","Jon Favreau","Male"
"65","Jon Favreau","Male"
"66","Shane Black","Male"
"67","Sam Raimi","Male"
"68","Sam Raimi","Male"
"69","Jake Castorena, Sam Liu","Male"
"70","Greg Berlanti","Male"
"71","Joss Whedon","Male"
"72","Anthony Russo, Joe Russo","Male"
"73","Peyton Reed","Male"
"74","Louis Leterrier","Male"
"75","Alan Taylor","Male"
"76","James Gunn","Male"
"77","Jon Watts","Male"
"78","Taika Waititi","Male"
"79","Chris Columbus","Male"
"80","Chris Columbus","Male"
"81","David Yates","Male"
"82","David Yates","Male"
"83","Genndy Tartakovsky","Male"
"84","Genndy Tartakovsky","Male"
"85","Genndy Tartakovsky","Male"
"86","Karey Kirkpatrick, Jason Reisig","Male"
"87","Eli Roth","Male"
"88","Ari Sandel","Male"
"89","Rob Letterman","Male"
"90","Oliver Daly","Male"
"91","Alfonso Cuaron","Male"
"92","Mike Newell","Male"
"93","David Yates","Male"
"94","David Yates","Male"
"95","David Yates","Male"
"96","Rob Cohen","Male"
"97","John Singleton","Male"
"98","Justin Lin","Male"
"99","Justin Lin","Male"
"100","Justin Lin","Male"
